# Wave	Vel	NormFlux	NormErr	Flux	Error	Continuum
1145.4595	2918.76	0.8308	0.1517	3.2829e-15	5.9929e-16	3.9514e-15
1145.4894	2926.67	1.0909	0.1700	4.3084e-15	6.7125e-16	3.9495e-15
1145.5193	2934.57	0.8213	0.1482	3.2424e-15	5.8517e-16	3.9477e-15
1145.5492	2942.48	1.0234	0.1646	4.0383e-15	6.4965e-16	3.9458e-15
1145.5791	2950.38	1.0015	0.1640	3.9498e-15	6.4687e-16	3.9440e-15
1145.6091	2958.28	1.2602	0.1886	4.9681e-15	7.4363e-16	3.9422e-15
1145.6390	2966.19	1.2118	0.1836	4.7749e-15	7.2348e-16	3.9404e-15
1145.6689	2974.09	0.8669	0.1516	3.4142e-15	5.9691e-16	3.9386e-15
1145.6988	2982.00	0.8752	0.1523	3.4456e-15	5.9956e-16	3.9368e-15
1145.7287	2989.90	0.9072	0.1549	3.5698e-15	6.0939e-16	3.9350e-15
1145.7586	2997.81	0.9252	0.1584	3.6390e-15	6.2307e-16	3.9333e-15
1145.7885	3005.71	1.0122	0.1635	3.9794e-15	6.4267e-16	3.9315e-15
1145.8184	3013.61	0.9024	0.1552	3.5461e-15	6.0972e-16	3.9298e-15
1145.8483	3021.52	0.9770	0.1608	3.8377e-15	6.3145e-16	3.9280e-15
1145.8782	3029.42	1.1155	0.1745	4.3796e-15	6.8525e-16	3.9263e-15
1145.9081	3037.33	0.9051	0.1572	3.5522e-15	6.1678e-16	3.9245e-15
1145.9381	3045.23	1.0217	0.1646	4.0078e-15	6.4555e-16	3.9228e-15
1145.9680	3053.14	0.8217	0.1485	3.2219e-15	5.8224e-16	3.9211e-15
1145.9979	3061.04	0.9254	0.1597	3.6269e-15	6.2579e-16	3.9194e-15
1146.0278	3068.94	0.9533	0.1633	3.7346e-15	6.3980e-16	3.9177e-15
1146.0577	3076.85	0.8695	0.1557	3.4051e-15	6.0965e-16	3.9160e-15
1146.0876	3084.75	1.0248	0.1646	4.0115e-15	6.4430e-16	3.9143e-15
1146.1175	3092.66	0.9106	0.1557	3.5627e-15	6.0934e-16	3.9127e-15
1146.1474	3100.56	0.7947	0.1508	3.1081e-15	5.8967e-16	3.9110e-15
1146.1773	3108.47	0.7784	0.1501	3.0430e-15	5.8679e-16	3.9094e-15
1146.2072	3116.37	0.8282	0.1509	3.2362e-15	5.8962e-16	3.9077e-15
1146.2372	3124.28	0.8222	0.1479	3.2115e-15	5.7775e-16	3.9061e-15
1146.2671	3132.18	0.8320	0.1487	3.2484e-15	5.8066e-16	3.9044e-15
1146.2970	3140.08	0.7391	0.1407	2.8848e-15	5.4912e-16	3.9028e-15
1146.3269	3147.99	0.8786	0.1610	3.4277e-15	6.2805e-16	3.9012e-15
1146.3568	3155.89	0.7497	0.1417	2.9234e-15	5.5263e-16	3.8996e-15
1146.3867	3163.80	0.9509	0.1590	3.7068e-15	6.1978e-16	3.8980e-15
1146.4166	3171.70	1.1000	0.1703	4.2860e-15	6.6338e-16	3.8964e-15
1146.4465	3179.61	1.0449	0.1663	4.0697e-15	6.4790e-16	3.8949e-15
1146.4764	3187.51	0.8008	0.1463	3.1178e-15	5.6940e-16	3.8933e-15
1146.5064	3195.41	0.9466	0.1612	3.6839e-15	6.2738e-16	3.8917e-15
1146.5363	3203.32	0.8345	0.1502	3.2463e-15	5.8417e-16	3.8902e-15
1146.5662	3211.22	0.6161	0.1297	2.3958e-15	5.0420e-16	3.8886e-15
1146.5961	3219.13	0.8870	0.1539	3.4479e-15	5.9838e-16	3.8871e-15
1146.6260	3227.03	1.1921	0.1834	4.6320e-15	7.1269e-16	3.8856e-15
1146.6559	3234.94	0.9660	0.1600	3.7521e-15	6.2136e-16	3.8841e-15
